Gmt time,Close,Volume,Open,High,Low
2024-12-27 00:00:00,94534.0,,96395.4,94669.2,94124.7
2024-12-26 00:00:00,96343.7,,98958.1,96553.8,95391.1
2024-12-25 00:00:00,98395.5,,98019.1,99922.5,98324.0
2024-12-24 00:00:00,98263.5,,94345.0,98839.7,97722.3
2024-12-23 00:00:00,94142.8,,96014.2,94855.1,93566.2
2024-12-22 00:00:00,95836.2,,96985.3,96487.5,93751.2
2024-12-21 00:00:00,96219.2,,97585.2,97422.2,96194.9
2024-12-20 00:00:00,97570.7,,97300.6,97809.8,97190.0
2024-12-19 00:00:00,97414.3,,100651.0,97803.2,95995.2
2024-12-18 00:00:00,100811.0,,103889.0,101269.0,98909.9
2024-12-17 00:00:00,103696.0,,106504.0,106478.0,103605.0
2024-12-16 00:00:00,106484.0,,104675.0,106961.0,105686.0
2024-12-15 00:00:00,104508.0,,102358.0,106569.0,104296.0
2024-12-14 00:00:00,102202.0,,101686.0,102834.0,101235.0
2024-12-13 00:00:00,101700.0,,100003.0,102633.0,101150.0
2024-12-12 00:00:00,100051.0,,100677.0,100351.0,99214.2
2024-12-11 00:00:00,100656.0,,97543.2,101828.0,100345.0
2024-12-10 00:00:00,97560.2,,97024.7,97622.7,95689.5
2024-12-09 00:00:00,96719.3,,99417.2,98131.6,95587.8
2024-12-08 00:00:00,99736.0,,99165.8,100317.0,99354.5
2024-12-07 00:00:00,99939.7,,100412.0,100442.0,98969.0
2024-12-06 00:00:00,99566.7,,97881.0,100442.0,99099.3
2024-12-05 00:00:00,97954.1,,103316.0,98795.8,96452.0
2024-12-04 00:00:00,103127.0,,95998.3,103719.0,97949.1
2024-12-03 00:00:00,95833.3,,95918.8,96606.5,95344.2
2024-12-02 00:00:00,95942.4,,96728.0,96228.7,95407.8
2024-12-01 00:00:00,96642.0,,96486.5,98082.0,96137.3
2024-11-30 00:00:00,96403.9,,96688.1,96667.5,95721.8
2024-11-29 00:00:00,96672.1,,96258.8,97461.9,96371.5
2024-11-28 00:00:00,96407.6,,95760.2,96825.4,95405.7
2024-11-27 00:00:00,95649.2,,92538.4,96549.0,94867.1
2024-11-26 00:00:00,92549.2,,94300.6,93179.1,91795.5
2024-11-25 00:00:00,94440.2,,97814.6,94909.3,92827.3
2024-11-24 00:00:00,97706.5,,98188.2,98051.9,96953.4
2024-11-23 00:00:00,98096.2,,98622.3,98552.6,97644.0
2024-11-22 00:00:00,98429.4,,98804.5,98927.2,98341.8
2024-11-21 00:00:00,98817.0,,97487.4,99289.3,97868.9
2024-11-20 00:00:00,96865.2,,92147.2,96904.8,94063.8
2024-11-19 00:00:00,92191.1,,91506.8,92419.7,91517.4
2024-11-18 00:00:00,91376.0,,90445.6,91805.7,90378.7
2024-11-17 00:00:00,90532.0,,90384.4,90916.6,89674.2
2024-11-16 00:00:00,90469.5,,91274.6,90883.9,89387.7
2024-11-15 00:00:00,91239.9,,87443.8,91673.9,90863.5
2024-11-14 00:00:00,87221.6,,90100.6,88463.7,87118.8
2024-11-13 00:00:00,90015.6,,87216.0,90523.2,89375.1
2024-11-12 00:00:00,86313.8,,88474.4,88533.4,86313.8
2024-11-11 00:00:00,88728.2,,81468.0,89436.1,86742.6
2024-11-10 00:00:00,81361.7,,79079.2,81792.4,80231.8
